"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","Th1_changes_new","Th2_changes_new","loglike_rank","loglike_rank_new","distance","source_folder","calibration_file"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-quinidine-risperidone-terfenadine-vandetanib-verapamil","0.964 (0.857 - 1   )","1    (1    - 1   )","0.969 (0.875 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.109 (0.105 - 0.113)",0.857,1,0.875,3.43,0.19,750000,0.25,0.113,0.964,1,0.312,3.43,0.19,750000,1.17e-06,0.0419,9.31599145754837,-12.8422023339396,9.14138806073919,-18.5874629114377,0.0191003155810744,0.309093317623396,0.00590377991060813,-4.17532006003468e-06,11,0.733333333333333,0.0958978223200544,0.221977964287686,53,0.0988593155893536,0.261235091888187,"results_get_calibration_drugs/tms_metrics_4_156.csv","calibration_drugs.csv"
"astemizole-azimilide-metoprolol-nitrendipine-quinidine-risperidone-terfenadine-vandetanib-verapamil","0.944 (0.889 - 1   )","1    (1    - 1   )","0.958 (0.917 - 1   )","8.33e+05 (2.5  - 1e+06)","0.167 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.127 (0.122 - 0.132)",0.889,1,0.917,2.5,0.25,667000,0.333,0.132,0.944,1,0.333,2.5,0.25,1e+06,1e-06,0.0414,9.68713108852441,-13.9743801706621,9.44617795226119,-19.3435358625599,0.0255080030760532,0.277568471971559,0.00708021743686589,-5.26527019517263e-06,9,0.766666666666667,0.226332142882329,0.321310800358356,6,0.131578947368421,0.414463374400219,"results_get_calibration_drugs/tms_metrics_4_158.csv","calibration_drugs.csv"
"astemizole-azimilide-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-risperidone-terfenadine-vandetanib-verapamil","1    (0.929 - 1   )","1    (1    - 1   )","1    (0.943 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0855 (0.0818 - 0.0892)",0.929,1,0.943,3.43,0.19,667000,0.333,0.0892,0.964,1,0.371,4,0.143,667000,1.14e-06,0.0262,10.0191230275124,-15.4853622234595,9.93510762096422,-21.32603613939,0.00845641635234191,0.273875270479474,0.00231600331578469,-3.12652040204244e-06,11,0.833333333333333,0.016673826022821,0.0865902475911901,94,0.133620689655172,0.160094897345502,"results_get_calibration_drugs/tms_metrics_4_162.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-quinidine-ranolazine-risperidone-terfenadine-vandetanib","0.964 (0.857 - 1   )","1    (1    - 1   )","0.969 (0.875 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.113 (0.109 - 0.117)",0.857,1,0.875,3.43,0.19,750000,0.25,0.117,0.964,1,0.312,3.43,0.19,750000,1.17e-06,0.0472,9.11963193920627,-13.5740920881162,9.30542512778607,-18.9421272575488,0.0199661150381,0.28339135813235,0.00565822445727388,-4.52467533420189e-06,11,0.733333333333333,0.0559241886426168,0.148557130128554,77,0.13013698630137,0.205261713407469,"results_get_calibration_drugs/tms_metrics_4_165.csv","calibration_drugs.csv"
"azimilide-cisapride-droperidol-nifedipine-nitrendipine-quinidine-ranolazine-vandetanib","1    (0.933 - 1   )","1    (0.867 - 1   )","1    (0.944 - 1   )","1e+06 (3    - 1e+06)","1e-06 (1e-06 - 0.2 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0321 (0.0293 - 0.0349)",0.933,0.867,0.944,3,0.2,5,0.333,0.0349,1,1,0.278,3,1.5e-06,667000,0.333,0.0137,3.7476752565512,-11.0172690522934,7.55744778221206,-15.3257103214781,0.504108349200627,0.281125062317447,0.141717491083772,-3.28257421467453e-06,8,0.766666666666667,0.0388548671154966,0.0472654554858293,37,0.167441860465116,0.178270863061986,"results_get_calibration_drugs/tms_metrics_4_173.csv","calibration_drugs.csv"
"azimilide-clozapine-diltiazem-dofetilide-droperidol-loratadine-vandetanib-verapamil","0.867 (0.733 - 1   )","1    (0.933 - 1   )","0.895 (0.789 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.185 (0.179 - 0.191)",0.733,0.933,0.789,2.4,0.3,5,0.333,0.191,0.933,1,0.316,3,0.2,1e+06,1e-06,0.0387,6.7336254350042,-7.41012361172543,6.31978684721618,-9.57265495021062,0.0654829977327969,0.22590716470331,0.0147930783540894,-6.17076067846282e-06,8,0.6,0.134704532455608,0.00173697604500269,51,0.161812297734628,0.210550582635206,"results_get_calibration_drugs/tms_metrics_4_174.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-terfenadine-verapamil","0.964 (0.857 - 1   )","1    (0.958 - 1   )","0.969 (0.875 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0937 (0.0899 - 0.0976)",0.857,0.958,0.875,3.43,0.19,667000,0.333,0.0976,0.964,1,0.406,3.43,0.19,667000,0.333,0.0468,8.45835559244079,-13.3033262337025,8.65133042055416,-17.0312614623098,0.0223057979215421,0.218887792713253,0.00488246687175423,-5.16240492718801e-06,11,0.733333333333333,0.0364238488383006,0.112982513733879,561,0.259019426456984,0.284925970132465,"results_get_calibration_drugs/tms_metrics_4_175.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-risperidone-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.966 (0.897 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0993 (0.0951 - 0.103)",0.875,1,0.897,3.33,0.222,667000,0.333,0.103,0.958,1,0.379,4,0.167,667000,1.17e-06,0.0313,8.18540084164007,-11.7229685613859,8.23125234047741,-16.9671366932605,0.00557041589064894,0.309077967996666,0.00172169282437811,-4.0337384836435e-06,10,0.7,0.0252530028101413,0.239934383096842,69,0.244604316546763,0.3435658510625,"results_get_calibration_drugs/tms_metrics_4_176.csv","calibration_drugs.csv"
"bepridil-cisapride-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","1    (0.8  - 1   )","1    (0.933 - 1   )","1    (0.812 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.241 (0.234 - 0.248)",0.8,0.933,0.812,2.4,0.3,3.33,0.417,0.248,0.933,1,0.312,3,0.2,667000,0.333,0.0373,7.60927141002883,-9.25901242487838,8.01011499565531,-18.8952266389113,0.0500421761540127,0.509981404202312,0.0255205792643628,-6.63974985027918e-06,8,0.633333333333333,0.196344876889055,0.343475063671071,43,0.308823529411765,0.501894812050058,"results_get_calibration_drugs/tms_metrics_4_177.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","0.958 (0.833 - 1   )","1    (1    - 1   )","0.966 (0.862 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.115 (0.111 - 0.119)",0.833,1,0.862,3.33,0.222,667000,0.333,0.119,0.958,1,0.379,3.33,0.222,1e+06,1e-06,0.0442,12.1192395094196,-18.7570843317755,12.3485747053998,-23.089934915465,0.0185717948387962,0.187651052268123,0.00348501684400781,-5.22955100858e-06,10,0.7,0.0705590015460339,0.0696932015152939,11,0.120481927710843,0.156050023843463,"results_get_calibration_drugs/tms_metrics_4_181.csv","calibration_drugs.csv"
