"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","Th1_changes_new","Th2_changes_new","loglike_rank","loglike_rank_new","distance","source_folder","calibration_file"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","1    (0.958 - 1   )","1    (1    - 1   )","1    (0.955 - 1   )","8.33e+05 (8.33e+05 - 1e+06)","0.167 (1e-06 - 0.167)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0746 (0.0709 - 0.0782)",0.958,1,0.955,833000,0.167,7,0.333,0.0782,1,1,0.409,1e+06,1e-06,667000,1.17e-06,0.00476,17.7338297989017,-23.3196304265945,15.0470870900464,-31.9852132534167,0.178555669464592,0.270924653781902,0.0483751329304902,-9.12073632426492e-07,10,0.9,0.214829038573503,0.238812819382213,4,0.014018691588785,0.321526985227614,"results_get_calibration_drugs/tms_metrics_10_1.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-diltiazem-dofetilide-droperidol-nitrendipine-tamoxifen-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.944 (0.889 - 1   )","3    (2.4  - 1e+06)","1.5e-06 (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.207 (0.201 - 0.213)",0.8,0.933,0.889,2.4,0.3,5,0.333,0.213,1,1,0.278,3,0.2,1e+06,1e-06,0.0152,6.53553618411958,-8.28867236086201,6.49350219378763,-10.1160157835507,0.00647323879741928,0.180638648830508,0.00116931710992304,-2.44550096701132e-06,8,0.7,0.0040888400378586,0.000221956449367502,9,0.0249221183800623,0.0252562836155768,"results_get_calibration_drugs/tms_metrics_2_15.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-ranolazine","1    (0.944 - 1   )","1    (1    - 1   )","1    (1    - 1   )","8.33e+05 (2.5  - 1e+06)","1.5e-06 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.105 (0.1  - 0.109)",0.944,1,1,2.5,0.25,667000,0.333,0.109,0.944,1,0.333,3,0.167,667000,0.333,0.0288,10.9097812097412,-12.9411518236092,11.8109348385337,-18.7111641087144,0.076298247438677,0.308372704743579,0.0235282969298597,-4.09215250383918e-06,9,0.8,0.18046439355502,0.305740376543462,62,0.203333333333333,0.409132032031914,"results_get_calibration_drugs/tms_metrics_2_16.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-tamoxifen","1    (0.917 - 1   )","1    (1    - 1   )","1    (0.92 - 1   )","8.33e+05 (3.33 - 1e+06)","1.33e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0818 (0.078 - 0.0856)",0.917,1,0.92,3.33,0.222,7,0.333,0.0856,0.958,1,0.32,4,0.167,667000,0.333,0.025,9.68054326597609,-10.4707886955852,10.4981592632893,-14.4406651760241,0.0778818435506408,0.274909530277739,0.0214104610276711,-3.64445715928998e-06,10,0.8,0.196165350048707,0.0549155999500507,33,0.128,0.240583805933828,"results_get_calibration_drugs/tms_metrics_2_17.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","1    (0.958 - 1   )","1    (0.952 - 1   )","1    (0.96 - 1   )","8.33e+05 (3.33 - 1e+06)","1.33e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0815 (0.0777 - 0.0853)",0.958,0.952,0.96,3.33,0.222,7,0.333,0.0853,1,1,0.32,4,0.167,7,0.333,0.0196,7.91008237857445,-6.7687506053754,7.74490902069618,-8.73893278891794,0.0213267008607703,0.225448831239551,0.00480807978325619,-2.94120549506406e-06,10,0.8,0.0599938211549037,0.0165203961892085,12,0.0511627906976744,0.0805593769774135,"results_get_calibration_drugs/tms_metrics_2_18.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.842 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.238 (0.231 - 0.244)",0.867,0.933,0.842,2.4,0.3,3.33,0.417,0.244,0.933,1,0.316,3,0.2,5,0.333,0.038,11.7009239470651,-12.6742034063789,10.6777740725118,-18.9999279743047,0.0958205209817321,0.332934134091488,0.0319019221812482,-5.97957263294435e-06,8,0.633333333333333,0.329509296761657,0.301468386234893,31,0.24,0.507010418582728,"results_get_calibration_drugs/tms_metrics_2_2.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-metoprolol-ondansetron-risperidone","1    (0.917 - 1   )","1    (0.933 - 1   )","1    (0.938 - 1   )","1e+06 (2    - 1e+06)","1e-06 (1e-06 - 0.167)","6.67e+05 (5    - 1e+06)","1.25e-06 (1e-06 - 0.333)","0.0789 (0.0748 - 0.0831)",0.917,0.933,0.938,2,0.167,5,0.333,0.0831,1,1,0.312,2,0.167,1e+06,1e-06,0.00972,4.27089348422464,-4.09223805968346,3.43422229868508,-5.6127708491692,0.243627556043741,0.270905909103845,0.0660001445527775,-2.18775192950723e-06,8,0.833333333333333,0.994971948140313,0.302407248262861,1,0,1.03991313165478,"results_get_calibration_drugs/tms_metrics_2_20.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-dofetilide-mexiletine-tamoxifen-terfenadine-vandetanib-verapamil","1    (0.867 - 1   )","1    (0.933 - 1   )","1    (0.923 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","6.67e+05 (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.204 (0.197 - 0.21)",0.867,0.933,0.923,2.4,0.3,3.33,0.417,0.21,0.933,1,0.154,3,0.2,1e+06,1e-06,0.0205,1.86388781998294,-2.031781504237,1.62758063855562,-2.57263776340476,0.145189231076765,0.21023412890121,0.0305237315212603,-3.72906927857637e-06,8,0.7,0.415200350541789,0.0012164301108638,16,0.234375,0.476785540277008,"results_get_calibration_drugs/tms_metrics_2_34.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.895 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.224 (0.218 - 0.231)",0.867,0.933,0.895,2.4,0.3,3.33,0.417,0.231,0.933,1,0.316,3,0.2,667000,0.333,0.0351,12.0194112400373,-13.6737464811052,10.9947041707381,-19.8460195073982,0.0932000582631739,0.311008110416906,0.0289859740111753,-5.48873240586063e-06,8,0.633333333333333,0.316725820577374,0.301580259531502,31,0.24,0.498864609247338,"results_get_calibration_drugs/tms_metrics_2_4.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.895 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.217 (0.211 - 0.223)",0.867,0.933,0.895,2.4,0.3,3.33,0.417,0.223,0.933,1,0.316,3,0.2,667000,0.333,0.0346,12.0295066843702,-13.9496820249234,11.0349959909162,-19.9741775988598,0.0901233398066211,0.301614198838418,0.0271824789324166,-5.41286416201502e-06,8,0.633333333333333,0.300053989080678,0.289702563941464,31,0.24,0.481206787065068,"results_get_calibration_drugs/tms_metrics_2_5.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","1    (0.867 - 1   )","1    (0.933 - 1   )","0.947 (0.842 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.237 (0.23 - 0.244)",0.867,0.933,0.842,2.4,0.3,3.33,0.417,0.244,0.933,1,0.316,3,0.2,5,0.333,0.0389,11.6435724592506,-12.4495497758325,10.6630680657874,-18.8729070425508,0.0919533090676903,0.340348058316411,0.0312961301969573,-6.06907230823313e-06,8,0.633333333333333,0.30910852028013,0.303026392197973,31,0.24,0.494947544370402,"results_get_calibration_drugs/tms_metrics_2_6.csv","calibration_drugs.csv"
"astemizole-bepridil-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.917 (0.75 - 1   )","1    (1    - 1   )","0.929 (0.786 - 1   )","7.5e+05 (2.25 - 1e+06)","0.25 (1e-06 - 0.375)","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.0125)","0.204 (0.198 - 0.211)",0.75,1,0.786,2.25,0.375,5,0.0125,0.211,0.917,1,0.357,2.98,0.25,1e+06,1e-06,0.0506,11.5632239051601,-20.0900809123275,11.1021885978807,-22.9061174078847,0.0415265245419648,0.122938184826902,0.00510519554935895,-8.21646475695868e-06,7,0.666666666666667,0.036120363490385,0,115,0.826086956521739,0.826876254583494,"results_get_calibration_drugs/tms_metrics_2_7.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-quinidine-ranolazine-risperidone-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.96 (0.88 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.119 (0.114 - 0.123)",0.875,1,0.88,3.33,0.222,667000,0.333,0.123,0.958,1,0.36,4,0.167,1e+06,1e-06,0.0316,16.4382377262737,-25.4096013175203,16.1569412228701,-32.0460189862257,0.0174102572710622,0.207090237060582,0.00360549430555,-4.05499283410843e-06,10,0.7,0.107884765778751,0.295508496034327,3,0.133333333333333,0.341675535696344,"results_get_calibration_drugs/tms_metrics_3_1.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-nitrendipine-quinidine-ranolazine-vandetanib-verapamil","1    (0.893 - 1   )","1    (1    - 1   )","1    (0.912 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.0926 (0.0888 - 0.0964)",0.893,1,0.912,3.43,0.19,750000,0.25,0.0964,0.964,1,0.353,4,0.143,750000,1.17e-06,0.0267,11.6032733299552,-16.2195827399183,11.2906135600749,-22.199787898677,0.0276920087838155,0.269381184453349,0.00745970612607678,-3.08262060715158e-06,11,0.8,0.0758782382876359,0.497001894211761,122,0.187888198757764,0.536721869433462,"results_get_calibration_drugs/tms_metrics_3_10.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-metoprolol-nitrendipine-ondansetron-quinidine-verapamil","1    (0.875 - 1   )","1    (1    - 1   )","1    (0.905 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.103 (0.0984 - 0.107)",0.875,1,0.905,3.33,0.222,667000,0.333,0.107,0.958,1,0.333,4,0.167,667000,0.333,0.0369,12.1167901307669,-18.9430051072588,13.5626465959494,-23.8104527248217,0.106605776015302,0.204424824417082,0.0217928670437748,-4.46469029853833e-06,10,0.766666666666667,0.169996064435575,0.267345220452036,109,0.247706422018349,0.402157432271572,"results_get_calibration_drugs/tms_metrics_3_100.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-mexiletine-quinidine-tamoxifen-terfenadine","1    (0.933 - 1   )","1    (0.933 - 1   )","1    (0.889 - 1   )","1e+06 (3    - 1e+06)","1e-06 (1e-06 - 0.2 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.141 (0.136 - 0.146)",0.933,0.933,0.889,3,0.2,3.33,0.417,0.146,1,1,0.222,3,1.5e-06,1e+06,1e-06,0.00965,5.45095620994761,-2.96225957345289,4.1563399245097,-5.2350726878848,0.311479885897599,0.434151204756284,0.135229367719792,-1.74012068368429e-06,8,0.666666666666667,0.79689862386719,0.236464192816494,2,0.125,0.840587729630749,"results_get_calibration_drugs/tms_metrics_3_101.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-dofetilide-droperidol-nitrendipine-quinidine-ranolazine-verapamil","0.964 (0.893 - 1   )","1    (0.964 - 1   )","0.968 (0.903 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.25)","0.119 (0.114 - 0.123)",0.893,0.964,0.903,3.43,0.19,7,0.25,0.123,0.964,1,0.387,4,0.143,7,0.25,0.039,10.5380835116078,-13.2681425173061,10.5042286953386,-18.9235838197384,0.00322297022000141,0.298856778732014,0.000963206497898829,-4.33223832152139e-06,11,0.8,0.0046101902123148,0.0925647200924839,131,0.169050715214564,0.192789070162573,"results_get_calibration_drugs/tms_metrics_3_11.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-nitrendipine-quinidine-terfenadine-verapamil","0.933 (0.8  - 1   )","1    (0.933 - 1   )","1    (0.889 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (5    - 1e+06)","1.25e-06 (1e-06 - 0.333)","0.222 (0.215 - 0.228)",0.8,0.933,0.889,2.4,0.3,5,0.333,0.228,0.933,1,0.222,2.4,0.3,667000,0.333,0.0576,5.25470571366405,-7.00174849901277,5.24583703631204,-7.65210615013377,0.00169061244003911,0.0849906729416752,0.000143686288962491,-9.18570053217664e-06,8,0.7,0,0,9,0.615384615384615,0.615384615384615,"results_get_calibration_drugs/tms_metrics_3_110.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.2  (0.194 - 0.206)",0.8,0.933,0.85,2.4,0.3,5,0.333,0.206,0.933,1,0.3,2.4,0.3,1e+06,1e-06,0.0469,13.4971130597212,-21.1858585121586,13.4442953206929,-26.8571008262949,0.00392863573496583,0.211163608120494,0.000829584896786493,-7.09581487568943e-06,8,0.7,0.00122352071728665,0.619350386643152,12,0.261904761904762,0.672451115506814,"results_get_calibration_drugs/tms_metrics_3_12.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-chlorpromazine-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-quinidine-ranolazine","1    (0.929 - 1   )","1    (1    - 1   )","1    (0.931 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.1  (0.0961 - 0.104)",0.929,1,0.931,3.43,0.19,750000,0.25,0.104,0.964,1,0.31,4,0.143,750000,0.25,0.0252,11.4293740061527,-19.0232327040957,13.018290947834,-24.5596974594078,0.122052652536977,0.225428866314936,0.0275141910921415,-3.20282332283515e-06,11,0.833333333333333,0.192852899878159,0.297276932585688,394,0.215224534501643,0.414593072651268,"results_get_calibration_drugs/tms_metrics_3_13.csv","calibration_drugs.csv"
"astemizole-bepridil-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.941 (0.824 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.2  (0.193 - 0.206)",0.8,0.933,0.824,2.4,0.3,5,0.333,0.206,0.933,1,0.353,3,0.2,1e+06,1e-06,0.0432,12.2879816508107,-18.9327901550671,12.0122404940779,-23.7474240917546,0.0229550146676452,0.202743418321282,0.00465397814133357,-6.8111072938838e-06,8,0.7,0.130540731499984,0.811689792807347,5,0.181818181818182,0.841985186073873,"results_get_calibration_drugs/tms_metrics_3_14.csv","calibration_drugs.csv"
"astemizole-azimilide-chlorpromazine-diltiazem-nitrendipine-quinidine-vandetanib-verapamil","1    (0.933 - 1   )","1    (0.933 - 1   )","1    (0.938 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.205 (0.199 - 0.211)",0.933,0.933,0.938,2.4,0.3,3.33,0.417,0.211,1,1,0.25,3,1.5e-06,667000,0.333,0.0171,12.2799110684846,-15.3510502913015,12.1547179287093,-21.9293581221882,0.0102999625749915,0.299977217492321,0.003089754113521,-3.00488185851827e-06,8,0.733333333333333,0.0260038133691595,0.0503309585293416,75,0.0724779627815867,0.0919916234512113,"results_get_calibration_drugs/tms_metrics_3_15.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","0.958 (0.833 - 1   )","1    (1    - 1   )","0.966 (0.862 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.115 (0.11 - 0.119)",0.833,1,0.862,3.33,0.222,667000,0.333,0.119,0.958,1,0.379,3.33,0.222,1e+06,1e-06,0.0425,13.3765266616197,-21.4911816960908,13.6760564156168,-26.6763702116824,0.0219017635562746,0.194373840010695,0.00425712988543938,-5.13266440172084e-06,10,0.7,0.112800537113595,0.362215785879695,2,0.0909090909090909,0.390113700763608,"results_get_calibration_drugs/tms_metrics_3_16.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-loratadine-quinidine-tamoxifen","0.917 (0.75 - 1   )","1    (1    - 1   )","0.933 (0.8  - 1   )","3    (2.25 - 1e+06)","0.25 (1e-06 - 0.375)","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.0125)","0.234 (0.227 - 0.241)",0.75,1,0.8,2.25,0.375,5,0.0125,0.241,0.833,1,0.333,2.25,0.375,1e+06,1e-06,0.058,12.9505679852247,-18.7102462135181,14.0531262439292,-26.687449021004,0.078456440194639,0.29891215159634,0.0234515833451691,-1.02586000154144e-05,7,0.733333333333333,0,0.0462416538560476,1,0,0.0462416538560476,"results_get_calibration_drugs/tms_metrics_3_17.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-verapamil","1    (0.958 - 1   )","1    (1    - 1   )","1    (1    - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.079 (0.0752 - 0.0827)",0.958,1,1,3.33,0.222,7,0.333,0.0827,1,1,0.333,4,1.33e-06,667000,1.17e-06,0.0132,12.9375436849302,-15.9551466868088,13.2509208013353,-22.2765201884301,0.0236494596189501,0.283768445347423,0.00671097038937613,-2.08162193252282e-06,10,0.8,0.0500745473943797,0.146681241995205,80,0.0927230046948357,0.180611191927982,"results_get_calibration_drugs/tms_metrics_3_18.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-risperidone-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.2  (0.194 - 0.206)",0.8,0.933,0.85,2.4,0.3,5,0.333,0.206,0.933,1,0.3,3,0.2,1e+06,1e-06,0.0431,14.9289129531478,-26.1125598241474,14.5869009956845,-31.3799175252158,0.0234465125638735,0.167857601819244,0.00393567536999658,-6.34727152203989e-06,8,0.7,0.0658443658555119,0.0196309613214041,51,0.137362637362637,0.153588245971286,"results_get_calibration_drugs/tms_metrics_3_19.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-risperidone-vandetanib-verapamil","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.947 (0.842 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.195 (0.189 - 0.201)",0.8,0.933,0.842,2.4,0.3,5,0.333,0.201,0.933,1,0.316,3,0.2,1e+06,1e-06,0.0268,13.2788504234443,-21.8125914386561,13.2844853362432,-26.0184563975295,0.000424172458042492,0.161649288282634,6.85671759516641e-05,-5.09358149645014e-06,8,0.7,0.00124359459447282,0.161948564143695,6,0.151515151515152,0.221778549671467,"results_get_calibration_drugs/tms_metrics_3_2.csv","calibration_drugs.csv"
"astemizole-azimilide-cisapride-diltiazem-metoprolol-quinidine-ranolazine-risperidone-vandetanib-verapamil","1    (0.917 - 1   )","1    (1    - 1   )","1    (0.923 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.00833)","0.109 (0.104 - 0.113)",0.917,1,0.923,3.33,0.222,7,0.00833,0.113,0.958,1,0.308,4,0.167,667000,1.17e-06,0.022,14.7546096912502,-24.6643341921236,14.3128920372323,-30.0867746658645,0.0308615235040425,0.180226712034142,0.00556207090949797,-3.21912603456579e-06,10,0.866666666666667,0.0728396521320059,0.109573529159183,55,0.418604651162791,0.438795883287699,"results_get_calibration_drugs/tms_metrics_3_21.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-metoprolol-ondansetron-quinidine-ranolazine","0.867 (0.8  - 1   )","1    (1    - 1   )","0.846 (0.769 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.209 (0.202 - 0.215)",0.8,1,0.769,2.4,0.3,5,0.333,0.215,0.933,1,0.308,3,0.2,1e+06,1e-06,0.0438,10.9548881285874,-12.5624029622799,10.7019218301337,-18.1849044519224,0.0236374646039213,0.309185099350253,0.00730835184195149,-6.60531585952891e-06,8,0.633333333333333,0.177608611762528,0.395181744926025,2,0.142857142857143,0.456203456541373,"results_get_calibration_drugs/tms_metrics_3_23.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.933 (0.8  - 1   )","1    (1    - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.197 (0.191 - 0.203)",0.8,1,0.85,2.4,0.3,5,0.333,0.203,0.933,1,0.3,3,0.2,1e+06,1e-06,0.0461,13.6204304592001,-21.9391929890761,13.5718275505044,-27.6238339740941,0.00358116167589093,0.205787545289662,0.000736958470567007,-6.92360076969504e-06,8,0.7,0,0.0871796465679033,15,0.608695652173913,0.614907056189088,"results_get_calibration_drugs/tms_metrics_3_24.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-chlorpromazine-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib-verapamil","1    (0.893 - 1   )","1    (0.964 - 1   )","1    (0.906 - 1   )","8.57e+05 (3.43 - 1e+06)","1.33e-06 (1e-06 - 0.19)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.25)","0.104 (0.0996 - 0.108)",0.893,0.964,0.906,3.43,0.19,7,0.25,0.108,0.929,1,0.312,3.43,0.19,994000,1e-06,0.043,14.4037327338967,-20.4066204496325,13.6810176563261,-26.6093089218631,0.0528261197906124,0.233102200829208,0.0123138847844591,-4.99682337943393e-06,11,0.8,0.14206440569714,0.304548714054931,441,0.432645034414946,0.547826560512087,"results_get_calibration_drugs/tms_metrics_3_25.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.933 (0.8  - 1   )","1    (0.933 - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.207 (0.201 - 0.214)",0.8,0.933,0.85,2.4,0.3,5,0.333,0.214,0.933,1,0.3,2.4,0.3,992000,1.01e-06,0.0502,13.2892315278223,-19.8941349354385,13.2417822506113,-25.5779822200718,0.00358329991484422,0.22221640611561,0.000796268029111055,-7.3480027296503e-06,8,0.7,0,0.0594157171834196,68,0.531746031746032,0.53505520250351,"results_get_calibration_drugs/tms_metrics_3_27.csv","calibration_drugs.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.933 (0.8  - 1   )","1    (1    - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.00833)","0.195 (0.188 - 0.201)",0.8,1,0.85,2.4,0.3,5,0.00833,0.201,0.933,1,0.3,2.98,0.203,1e+06,1e-06,0.0464,13.6855583471614,-22.1695278087542,13.6660138203781,-27.7787020639266,0.00143015564305944,0.20192355432101,0.000288782110678812,-6.95676491615065e-06,8,0.766666666666667,0,0.28450226049581,1,0,0.28450226049581,"results_get_calibration_drugs/tms_metrics_3_28.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-chlorpromazine-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","1    (0.893 - 1   )","1    (1    - 1   )","1    (0.906 - 1   )","8.57e+05 (3.43 - 1e+06)","1.33e-06 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0712 (0.0678 - 0.0746)",0.893,1,0.906,3.43,0.19,667000,0.333,0.0746,0.929,1,0.406,3.43,0.19,1e+06,1e-06,0.0432,14.300367102792,-21.3834988326746,13.6079925476924,-26.4722711701656,0.0508799922305207,0.192230288998628,0.00978067561072093,-5.10554397358111e-06,11,0.8,0.131924495333735,0.159225434703362,271,0.50185873605948,0.54278817459922,"results_get_calibration_drugs/tms_metrics_3_29.csv","calibration_drugs.csv"
