"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","1    (0.958 - 1   )","1    (0.667 - 1   )","1    (0.955 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.113 (0.109 - 0.118)",0.958,0.667,0.955,3.33,0.222,4.67,0.389,0.118,1,0.905,0.364,4,1.33e-06,7,0.333,0.0315,18.4544082893936,-18.9688324944818,18.4544082597882,-18.9688324533515,1.60424594831598e-09,2.16830891461204e-09,3.47850079096377e-18,-6.01768732942227e-06,10,NA,"tms_metrics_10_1.csv","summary_tms_10_metrics.csv"
"azimilide-chlorpromazine-diltiazem-dofetilide-droperidol-nitrendipine-tamoxifen-vandetanib","0.8  (0.733 - 0.867)","1    (0.933 - 1   )","0.944 (0.833 - 0.944)","2.4  (2.4  - 2.4 )","0.3  (0.3  - 0.3 )","5    (5    - 1e+06)","1.25e-06 (1e-06 - 1.25e-06)","0.315 (0.308 - 0.322)",0.733,0.933,0.833,2.4,0.3,5,1.25e-06,0.322,0.933,1,0.278,2.4,0.3,1e+06,1e-06,0.0596,7.90351920279215,-8.24776082371678,7.90351914337543,-8.24776088854477,7.5177555460634e-09,7.86007082821622e-09,5.90900910612736e-17,-8.14502173644633e-06,8,NA,"tms_metrics_2_15.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-ranolazine","0.722 (0.667 - 0.833)","1    (0.889 - 1   )","0.933 (0.867 - 0.933)","2.5  (2.5  - 2.5 )","0.25 (0.25 - 0.25)","6.67e+05 (6.67e+05 - 1e+06)","0.333 (1e-06 - 0.333)","0.289 (0.282 - 0.295)",0.667,0.889,0.867,2.5,0.25,667000,0.333,0.295,0.944,0.889,0.333,2.5,0.25,667000,0.333,0.22,11.9221408398816,-15.2210127924423,11.9221671459558,-15.2209879831088,2.2064842652258e-06,1.62994238686216e-06,3.59644222983594e-12,-1.9008626299864e-05,9,NA,"tms_metrics_2_16.csv","summary_tms_9_metrics.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-tamoxifen","0.875 (0.833 - 0.917)","1    (0.952 - 1   )","0.92 (0.84 - 0.92)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","6.67e+05 (4.67 - 1e+06)","0.333 (1e-06 - 0.389)","0.295 (0.289 - 0.301)",0.833,0.952,0.84,3.33,0.222,4.67,0.389,0.301,0.917,1,0.32,3.33,0.222,1e+06,1e-06,0.105,11.7392574604954,-11.795939981589,11.7392812213867,-11.7959153698006,2.02404992925124e-06,2.08646702321464e-06,4.22311343072265e-12,-1.04649119521025e-05,10,0.566666666666667,"tms_metrics_2_17.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","0.917 (0.917 - 0.958)","1    (0.81 - 1   )","0.92 (0.88 - 0.96)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","7    (3.5  - 1e+06)","1.17e-06 (1e-06 - 0.389)","0.256 (0.25 - 0.262)",0.917,0.81,0.88,3.33,0.222,3.5,0.389,0.262,0.958,0.905,0.24,3.33,0.222,4.67,0.389,0.1,9.43874533840313,-6.01737063410521,9.4387604621654,-6.01735569989228,1.60230385401428e-06,2.48185642960053e-06,3.97668812225906e-12,-1.24750740609991e-05,10,0.633333333333333,"tms_metrics_2_18.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.6  - 0.935)","1    (1    - 1   )","0.895 (0.789 - 0.949)","2.4  (2.4  - 8e+05)","0.3  (0.195 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.238 (0.231 - 0.244)",0.6,1,0.789,2.4,0.3,1e+06,1e-06,0.244,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.13,5.3442784277102,-20.014074886293,5.34427845528503,-20.0140748591004,5.15969143172866e-09,1.35867411769445e-09,7.01033920357953e-18,-1.39024062506644e-05,8,NA,"tms_metrics_2_2.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-metoprolol-ondansetron-risperidone","0.75 (0.5  - 1   )","1    (0.667 - 1   )","0.812 (0.625 - 1   )","1.67 (1.33 - 8.33e+05)","0.333 (2e-06 - 0.667)","6.67e+05 (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.347 (0.339 - 0.355)",0.5,0.667,0.625,1.33,0.667,3.33,0.417,0.355,0.667,0.667,0.312,1.33,0.667,3.33,0.417,0.228,2.68041176142194,-2.48915984995159,2.6804262221836,-2.48914563225983,5.39494858740247e-06,5.71187622794383e-06,3.08152785873634e-11,-3.48785695949846e-05,8,NA,"tms_metrics_2_20.csv","summary_tms_8_metrics.csv"
"azimilide-chlorpromazine-dofetilide-mexiletine-tamoxifen-terfenadine-vandetanib-verapamil","0.867 (0.867 - 0.867)","0.933 (0.933 - 1   )","0.923 (0.923 - 0.923)","8e+05 (2.4  - 8e+05)","0.2  (0.2  - 0.3 )","5    (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.317 (0.31 - 0.324)",0.867,0.933,0.923,2.4,0.3,3.33,0.417,0.324,0.933,1,0.154,2.4,0.3,1e+06,1e-06,0.0543,1.9848084212122,-2.06109755753454,1.98480841665402,-2.061097562306,2.2965336861959e-09,2.31500869774369e-09,5.31649545820489e-18,-8.03550471390223e-06,8,0.633333333333333,"tms_metrics_2_34.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.667 - 1   )","1    (1    - 1   )","0.895 (0.789 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.236 (0.23 - 0.243)",0.667,1,0.789,2.4,0.3,1e+06,1e-06,0.243,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.127,5.67815616507889,-20.5764364562378,5.67815618085753,-20.5764364407985,2.7788314265009e-09,7.50338243771366e-10,2.08506349229737e-18,-1.36458380964023e-05,8,NA,"tms_metrics_2_4.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.667 - 1   )","1    (1    - 1   )","0.895 (0.789 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.237 (0.23 - 0.243)",0.667,1,0.789,2.4,0.3,1e+06,1e-06,0.243,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.129,5.66827330551626,-20.6903862209903,5.6682733213455,-20.6903862052282,2.79260275618199e-09,7.61807962472423e-10,2.12742701568187e-18,-1.38328599485317e-05,8,NA,"tms_metrics_2_5.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.8  (0.667 - 1   )","1    (1    - 1   )","0.895 (0.789 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.236 (0.23 - 0.243)",0.667,1,0.789,2.4,0.3,1e+06,1e-06,0.243,0.867,1,0.316,2.4,0.3,1e+06,1e-06,0.128,5.43229908423614,-19.7614124675713,5.43229910216054,-19.7614124500192,3.29959800774346e-09,8.88201950700035e-10,2.93070938700369e-18,-1.38443381991375e-05,8,NA,"tms_metrics_2_6.csv","summary_tms_8_metrics.csv"
"astemizole-bepridil-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.833 (0.667 - 0.917)","1    (0.9  - 1   )","0.857 (0.714 - 0.929)","2.25 (1.12 - 7.5e+05)","0.375 (0.25 - 0.75)","5e+05 (2.5  - 1e+06)","0.5  (1e-06 - 0.625)","0.39 (0.382 - 0.398)",0.667,0.9,0.714,1.12,0.75,2.5,0.625,0.398,0.833,0.9,0.357,2.25,0.375,5e+05,0.5,0.187,6.74528519815684,-15.6445767619603,6.74528520536398,-15.6445767553257,1.0684707250239e-09,4.24085245586825e-10,4.53122669824093e-19,-2.4462512233767e-05,7,NA,"tms_metrics_2_7.csv","summary_tms_7_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-quinidine-ranolazine-risperidone-verapamil","0.875 (0.792 - 0.958)","1    (0.857 - 1   )","0.88 (0.76 - 0.96)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.225)","6.67e+05 (7    - 1e+06)","0.333 (1e-06 - 0.333)","0.254 (0.248 - 0.261)",0.792,0.857,0.76,3.33,0.225,7,0.333,0.261,0.917,0.857,0.36,3.33,0.222,667000,0.333,0.162,10.2885069270873,-23.0136709075265,10.2885211356834,-23.0136590849003,1.3810144214012e-06,5.1372213881031e-07,7.09457682290108e-13,-1.60789686334928e-05,10,0.566666666666667,"tms_metrics_3_1.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-nitrendipine-quinidine-ranolazine-vandetanib-verapamil","1    (0.964 - 1   )","1    (0.929 - 1   )","1    (0.971 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.25)","0.109 (0.105 - 0.113)",0.964,0.929,0.971,3.43,0.19,7,0.25,0.113,0.964,1,0.353,4,0.143,7,0.25,0.0248,10.2845095661724,-14.6168623118011,10.2845095074493,-14.6168623713903,5.70985693710646e-09,4.07674208885105e-09,2.327761409682e-17,-2.71637308503707e-06,11,0.833333333333333,"tms_metrics_3_10.csv","summary_tms_11_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-metoprolol-nitrendipine-ondansetron-quinidine-verapamil","0.792 (0.75 - 0.917)","1    (0.905 - 1   )","0.857 (0.762 - 0.952)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","6.67e+05 (6.67e+05 - 1e+06)","0.333 (1e-06 - 0.333)","0.261 (0.255 - 0.267)",0.75,0.905,0.762,3.33,0.222,667000,0.333,0.267,0.917,0.905,0.333,3.33,0.222,667000,0.333,0.212,13.42781404786,-18.752555987373,13.4278421807858,-18.7525297545975,2.0951188924506e-06,1.39889262089057e-06,2.93084635853756e-12,-1.61730978034738e-05,10,0.6,"tms_metrics_3_100.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-mexiletine-quinidine-tamoxifen-terfenadine","0.8  (0.8  - 0.867)","1    (0.933 - 1   )","0.889 (0.889 - 0.889)","8e+05 (8e+05 - 8e+05)","0.2  (0.2  - 0.2 )","5    (5    - 5   )","1.25e-06 (1.25e-06 - 1.25e-06)","0.25 (0.243 - 0.257)",0.8,0.933,0.889,8e+05,0.2,5,1.25e-06,0.257,1,1,0.222,1e+06,1e-06,1e+06,1e-06,0.00356,5.80525518588371,-3.88840959834152,5.80525519480416,-3.88840957787594,1.53661606262403e-09,5.26322638794968e-09,8.08755820895011e-18,-8.70317870681147e-07,8,NA,"tms_metrics_3_101.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-dofetilide-droperidol-nitrendipine-quinidine-ranolazine-verapamil","1    (1    - 1   )","1    (0.75 - 1   )","1    (0.968 - 1   )","1e+06 (8.57e+05 - 1e+06)","1e-06 (1e-06 - 0.143)","1e+06 (5.25 - 1e+06)","1e-06 (1e-06 - 0.292)","0.0527 (0.0498 - 0.0557)",1,0.75,0.968,857000,0.143,5.25,0.292,0.0557,1,0.929,0.387,1e+06,1e-06,7,0.25,0.0247,11.3466984168066,-12.1652503240716,11.3466984570311,-12.1652502795352,3.54504354685305e-09,3.66095027568078e-09,1.2978228150152e-17,-3.59045453143114e-06,11,0.833333333333333,"tms_metrics_3_11.csv","summary_tms_11_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-nitrendipine-quinidine-terfenadine-verapamil","0.933 (0.933 - 0.933)","1    (0.933 - 1   )","1    (1    - 1   )","2.4  (2.4  - 2.4 )","0.3  (0.3  - 0.3 )","5    (3.33 - 5   )","1.25e-06 (1.25e-06 - 0.417)","0.391 (0.383 - 0.398)",0.933,0.933,1,2.4,0.3,3.33,0.417,0.398,1,1,0.222,8e+05,0.2,1e+06,1e-06,0.0113,8.43132461788841,-4.97356638205613,8.43132450864538,-4.97356643453648,1.29568049429021e-08,1.05518547751518e-08,1.36718324107472e-16,-1.88095005653178e-06,8,0.666666666666667,"tms_metrics_3_110.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 8e+05)","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.246 (0.24 - 0.253)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.253,0.932,1,0.3,2.4,0.3,1e+06,1e-06,0.125,7.91517047418266,-27.8976142174125,7.91517050097869,-27.8976141907205,3.38540197370978e-09,9.56782915530978e-10,3.23909477065037e-18,-1.32701091278268e-05,8,NA,"tms_metrics_3_12.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-chlorpromazine-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-quinidine-ranolazine","0.857 (0.786 - 0.893)","1    (0.929 - 1   )","0.931 (0.862 - 0.966)","3.43 (1.71 - 8.57e+05)","0.19 (0.143 - 0.286)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.25)","0.216 (0.211 - 0.222)",0.786,0.929,0.862,1.71,0.286,7,0.25,0.222,0.893,0.964,0.31,1.71,0.286,731000,0.25,0.179,9.28907955207119,-18.0017114898647,9.28907960048405,-18.0017114404473,5.21180408974766e-09,2.7451505927738e-09,1.43071870863917e-17,-1.44309931117447e-05,11,NA,"tms_metrics_3_13.csv","summary_tms_11_metrics.csv"
"astemizole-bepridil-clozapine-diltiazem-metoprolol-quinidine-ranolazine-vandetanib","0.867 (0.733 - 0.933)","0.933 (0.867 - 1   )","0.882 (0.765 - 0.941)","2.4  (2.4  - 8e+05)","0.3  (0.2  - 0.3 )","6.67e+05 (3.33 - 1e+06)","0.333 (1e-06 - 0.417)","0.367 (0.36 - 0.375)",0.733,0.867,0.765,2.4,0.3,3.33,0.417,0.375,0.867,0.933,0.353,2.4,0.3,5,0.333,0.162,5.72556922940695,-14.8502649310116,5.72556931372799,-14.850264845746,1.47271007921052e-08,5.74168877871559e-09,8.45584293610438e-17,-1.91774967569599e-05,8,0.433333333333333,"tms_metrics_3_14.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-chlorpromazine-diltiazem-nitrendipine-quinidine-vandetanib-verapamil","1    (0.933 - 1   )","1    (0.9  - 1   )","1    (0.812 - 1   )","8e+05 (8e+05 - 1e+06)","0.2  (1e-06 - 0.2 )","5    (5    - 5   )","1.25e-06 (1.25e-06 - 1.25e-06)","0.196 (0.19 - 0.202)",0.933,0.9,0.812,8e+05,0.2,5,1.25e-06,0.202,1,1,0.25,1e+06,1e-06,1e+06,1e-06,0.000185,18.9144979599044,-22.7621772018066,18.9144980317279,-22.7621771233336,3.79727439743246e-09,3.44751859800599e-09,1.30911741068804e-17,-3.03760890878132e-08,8,NA,"tms_metrics_3_15.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","0.875 (0.833 - 0.958)","1    (0.905 - 1   )","0.897 (0.828 - 0.966)","3.33 (3.33 - 8.33e+05)","0.222 (1.33e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.237 (0.231 - 0.243)",0.833,0.905,0.828,3.33,0.222,7,0.333,0.243,0.917,0.952,0.379,3.33,0.222,667000,0.333,0.119,8.77482747569259,-19.1898954835618,8.77484393993864,-19.1898801848452,1.87630072543241e-06,7.97228356632633e-07,1.4958401438851e-12,-1.19247826017818e-05,10,0.7,"tms_metrics_3_16.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-loratadine-quinidine-tamoxifen","0.833 (0.708 - 1   )","1    (1    - 1   )","0.867 (0.8  - 1   )","2.25 (2.25 - 3   )","0.375 (1.5e-06 - 0.375)","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.217 (0.211 - 0.224)",0.708,1,0.8,2.25,0.375,1e+06,1e-06,0.224,0.917,1,0.333,3,0.25,1e+06,1e-06,0.0341,12.4826719029722,-25.8548017454745,12.4826882278527,-25.8547849855501,1.30780167185276e-06,6.48232981758037e-07,8.47760177293258e-13,-5.53103410687137e-06,7,NA,"tms_metrics_3_17.csv","summary_tms_7_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-verapamil","0.958 (0.958 - 0.958)","1    (0.667 - 1   )","0.952 (0.905 - 0.952)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.248 (0.242 - 0.254)",0.958,0.667,0.905,3.33,0.222,4.67,0.389,0.254,1,0.952,0.333,833000,0.167,7,0.333,0.0239,17.6263897010288,-13.2544268756856,17.6264019280928,-13.254415902647,6.93678953727813e-07,8.27877947470239e-07,5.74281508415484e-13,-4.74238256372489e-06,10,NA,"tms_metrics_3_18.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-risperidone-vandetanib","0.867 (0.733 - 0.933)","1    (0.933 - 1   )","0.9  (0.8  - 0.95)","2.4  (2.4  - 8e+05)","0.3  (0.2  - 0.3 )","6.67e+05 (3.33 - 1e+06)","1.25e-06 (1e-06 - 0.417)","0.349 (0.342 - 0.357)",0.733,0.933,0.8,2.4,0.3,3.33,0.417,0.357,0.933,0.933,0.3,2.4,0.3,5,0.333,0.156,10.4517488848229,-21.3447516166092,10.4517524307883,-21.3447486012806,3.39269936588548e-07,1.41267936391942e-07,4.79279638216892e-14,-1.71775076080343e-05,8,0.533333333333333,"tms_metrics_3_19.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-risperidone-vandetanib-verapamil","0.867 (0.733 - 0.933)","0.933 (0.733 - 1   )","0.895 (0.789 - 0.947)","2.4  (1.8  - 8e+05)","0.3  (0.2  - 0.6 )","5    (3.33 - 1e+06)","0.333 (1e-06 - 0.417)","0.405 (0.397 - 0.413)",0.733,0.733,0.789,1.8,0.6,3.33,0.417,0.413,0.867,0.8,0.316,2.4,0.3,5,0.333,0.217,7.35864651513531,-16.4958191694578,7.35864677072921,-16.4958189232899,3.47338185351977e-08,1.49230455789127e-08,5.18334357130437e-16,-2.48276459064058e-05,8,NA,"tms_metrics_3_2.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-cisapride-diltiazem-metoprolol-quinidine-ranolazine-risperidone-vandetanib-verapamil","0.792 (0.667 - 0.958)","1    (1    - 1   )","0.808 (0.769 - 0.962)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.19 (0.184 - 0.195)",0.667,1,0.769,3.33,0.222,667000,0.333,0.195,0.958,1,0.308,3.33,0.222,1e+06,1e-06,0.106,9.04101989839868,-31.5882622189726,9.04100656162469,-31.5882748387759,1.47514260719226e-06,3.99509101655704e-07,5.89332897813431e-13,-8.89361064281271e-06,10,NA,"tms_metrics_3_21.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-metoprolol-ondansetron-quinidine-ranolazine","0.8  (0.667 - 0.933)","1    (0.867 - 1   )","0.846 (0.692 - 0.923)","2.4  (1.8  - 8e+05)","0.3  (1.5e-06 - 0.6 )","6.67e+05 (3.33 - 1e+06)","0.333 (1e-06 - 0.417)","0.329 (0.321 - 0.336)",0.667,0.867,0.692,1.8,0.6,3.33,0.417,0.336,0.867,0.867,0.308,2.4,0.3,667000,0.333,0.187,4.58849741650725,-10.0721710034454,4.58849744188567,-10.0721709678221,5.53087873321141e-09,3.53680787688106e-09,1.9561655469696e-17,-2.24699852622243e-05,8,NA,"tms_metrics_3_23.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 8e+05)","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.247 (0.24 - 0.253)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.253,0.933,1,0.3,2.4,0.3,1e+06,1e-06,0.12,8.35437726571644,-28.256744434215,8.35437727183732,-28.2567444282339,7.32655421684165e-10,2.11669318948153e-10,1.55080674131559e-19,-1.28643727106991e-05,8,NA,"tms_metrics_3_24.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-chlorpromazine-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib-verapamil","0.857 (0.75 - 0.929)","1    (0.964 - 1   )","0.906 (0.875 - 0.938)","3.43 (2.86 - 3.43)","0.19 (0.19 - 0.381)","1e+06 (5.25 - 1e+06)","1e-06 (1e-06 - 0.292)","0.237 (0.231 - 0.242)",0.75,0.964,0.875,2.86,0.381,5.25,0.292,0.242,0.929,1,0.312,3.43,0.19,750000,0.25,0.134,15.0717107491557,-19.1817680956527,15.071710762485,-19.1817680813308,8.84389636523353e-10,7.46641940621757e-10,6.60322394479567e-19,-1.2381644172958e-05,11,0.666666666666667,"tms_metrics_3_25.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 3   )","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.246 (0.24 - 0.253)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.253,0.867,1,0.3,2.4,0.3,1e+06,1e-06,0.128,8.05769808773293,-26.1617621393985,8.05769813100043,-26.1617621036559,5.36971036030972e-09,1.36621375093224e-09,7.33617213277847e-18,-1.36117278671866e-05,8,NA,"tms_metrics_3_27.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 8e+05)","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.247 (0.24 - 0.253)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.253,0.933,1,0.3,2.4,0.3,1e+06,1e-06,0.122,8.37679783920058,-28.4644217032624,8.37679784580085,-28.4644216966504,7.87923288413642e-10,2.32290787413172e-10,1.83027321086781e-19,-1.30199339977639e-05,8,NA,"tms_metrics_3_28.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-chlorpromazine-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","0.821 (0.75 - 0.929)","1    (0.917 - 1   )","0.875 (0.844 - 0.938)","3.43 (2.86 - 3.43)","0.19 (0.19 - 0.381)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.227 (0.221 - 0.232)",0.75,0.917,0.844,2.86,0.381,667000,0.333,0.232,0.893,0.958,0.406,3.43,0.19,667000,0.333,0.136,15.0464259169852,-21.4026254025618,15.046425928961,-21.4026253866846,7.95925353852756e-10,7.41835801127424e-10,5.90445922512988e-19,-1.32776611050392e-05,11,0.666666666666667,"tms_metrics_3_29.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 3   )","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.246 (0.24 - 0.253)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.253,0.867,1,0.3,2.4,0.3,1e+06,1e-06,0.133,8.01272650096957,-26.8286629522456,8.01272654654182,-26.8286629135288,5.68748305040521e-09,1.44311429915334e-09,8.20768811623201e-18,-1.40298520409874e-05,8,NA,"tms_metrics_3_31.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.6  - 0.867)","1    (1    - 1   )","0.9  (0.85 - 0.9 )","2.4  (2.4  - 3   )","0.3  (0.2  - 0.3 )","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.247 (0.241 - 0.254)",0.6,1,0.85,2.4,0.3,1e+06,1e-06,0.254,0.867,1,0.3,2.4,0.3,1e+06,1e-06,0.124,8.20845357027115,-27.3733840142854,8.20845358050304,-27.3733840042022,1.24650684252506e-09,3.68357365557905e-10,4.59159976662434e-19,-1.32571928283584e-05,8,NA,"tms_metrics_3_32.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-chlorpromazine-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib-verapamil","0.857 (0.75 - 0.929)","1    (0.964 - 1   )","0.906 (0.875 - 0.938)","3.43 (2.86 - 3.43)","0.19 (0.19 - 0.381)","1e+06 (5.25 - 1e+06)","1e-06 (1e-06 - 0.292)","0.24 (0.234 - 0.245)",0.75,0.964,0.875,2.86,0.381,5.25,0.292,0.245,0.893,1,0.312,3.43,0.19,750000,0.25,0.137,14.3030211757621,-17.5412110695571,14.3030211957212,-17.5412110492373,1.3954436555225e-09,1.15840526027485e-09,1.61648927097442e-18,-1.28298988235111e-05,11,0.666666666666667,"tms_metrics_3_33.csv","summary_tms_11_metrics.csv"
