"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-ondansetron-verapamil","0.875 (0.792 - 0.958)","1    (0.905 - 1   )","0.88 (0.839 - 0.96)","3.33 (3.33 - 4   )","0.222 (1.33e-06 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.335)","0.229 (0.224 - 0.235)",0.792,0.905,0.839,3.33,0.222,4.67,0.335,0.235,0.917,0.905,0.36,3.33,0.222,7,0.333,0.13,8.09327956516437,-15.0719992960749,8.09331145940313,-15.0719669672207,3.9408144516789e-06,2.14496583756797e-06,8.4529123710454e-12,-1.38076496157621e-05,10,0.6,"tms_metrics_4_143.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-clozapine-droperidol-loratadine-nitrendipine-ondansetron-tamoxifen","1    (0.867 - 1   )","1    (0.583 - 1   )","1    (0.9  - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","5e+05 (3    - 1e+06)","1.2e-06 (1e-06 - 0.6 )","0.178 (0.173 - 0.184)",0.867,0.583,0.9,2.4,0.3,3,0.6,0.184,0.933,0.833,0.35,3,0.2,6,0.5,0.0588,12.7819317105185,-12.6262467005895,12.781961441743,-12.6262163184398,2.32602990178784e-06,2.40627507786421e-06,5.597067783039e-12,-1.08612404398728e-05,8,NA,"tms_metrics_4_144.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-dofetilide-droperidol-nitrendipine-ondansetron-ranolazine-verapamil","0.875 (0.792 - 0.958)","1    (0.905 - 1   )","0.909 (0.864 - 0.955)","3.33 (3.33 - 4   )","0.222 (1.33e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.215 (0.209 - 0.22)",0.792,0.905,0.864,3.33,0.222,7,0.333,0.22,0.958,0.952,0.364,3.33,0.222,667000,0.333,0.115,9.03226275504267,-14.3577062443744,9.0322854437837,-14.3576829360816,2.51196014224631e-06,1.62340211495224e-06,4.07792140759839e-12,-1.13875008001603e-05,10,0.666666666666667,"tms_metrics_4_146.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-ondansetron-quinidine-verapamil","0.875 (0.792 - 0.958)","1    (0.857 - 1   )","0.88 (0.8  - 0.96)","3.33 (3.33 - 4   )","0.222 (1.33e-06 - 0.222)","6.67e+05 (4.67 - 1e+06)","0.333 (1e-06 - 0.389)","0.258 (0.252 - 0.264)",0.792,0.857,0.8,3.33,0.222,4.67,0.389,0.264,0.917,0.905,0.36,3.33,0.222,667000,0.333,0.141,8.66217053139235,-16.0622762239444,8.66220345408981,-16.0622431049493,3.80073010676867e-06,2.06191594338225e-06,7.83678600363923e-12,-1.45420843678088e-05,10,0.566666666666667,"tms_metrics_4_147.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","0.958 (0.917 - 0.958)","1    (0.857 - 1   )","0.96 (0.92 - 0.96)","8.33e+05 (3.33 - 8.33e+05)","0.167 (0.167 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.209 (0.203 - 0.214)",0.917,0.857,0.92,3.33,0.222,4.67,0.389,0.214,0.958,0.905,0.32,4,0.167,4.67,0.389,0.068,14.1816844279899,-8.84731208279787,14.1817051827917,-8.84729167602661,1.46349127795923e-06,2.3065557244536e-06,3.37562418486478e-12,-8.9094730295434e-06,10,0.7,"tms_metrics_4_148.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","0.958 (0.917 - 0.958)","1    (0.857 - 1   )","0.96 (0.92 - 0.96)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","6.67e+05 (3.5  - 1e+06)","1.17e-06 (1e-06 - 0.389)","0.226 (0.22 - 0.232)",0.917,0.857,0.92,3.33,0.222,3.5,0.389,0.232,0.958,0.905,0.28,3.33,0.222,4.67,0.389,0.0873,14.0456767133137,-9.39229647693625,14.0457024829837,-9.39227080695512,1.83470139816134e-06,2.73309635691319e-06,5.0144157073383e-12,-1.11055548289e-05,10,0.7,"tms_metrics_4_149.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-dofetilide-droperidol-loratadine-nitrendipine-ondansetron-tamoxifen","0.958 (0.917 - 0.958)","1    (0.905 - 1   )","0.96 (0.92 - 0.96)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.186 (0.18 - 0.191)",0.917,0.905,0.92,3.33,0.222,4.67,0.389,0.191,0.958,0.952,0.32,4,0.167,7,0.333,0.0538,13.4485833041865,-9.39574729993238,13.4486002219231,-9.39573149450093,1.25795520280434e-06,1.68219275510566e-06,2.11612312840494e-12,-6.81702369897121e-06,10,0.733333333333333,"tms_metrics_4_150.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-verapamil","0.958 (0.958 - 0.958)","0.857 (0.667 - 1   )","0.952 (0.905 - 0.952)","3.33 (3.33 - 8.33e+05)","0.222 (0.167 - 0.222)","6.67e+05 (3.5  - 1e+06)","0.333 (1e-06 - 0.389)","0.293 (0.286 - 0.299)",0.958,0.667,0.905,3.33,0.222,3.5,0.389,0.299,1,0.905,0.286,833000,0.167,4.67,0.389,0.0514,16.8010010886575,-10.5484016499833,16.8010336049194,-10.5483700397964,1.93537270663182e-06,2.9966892308982e-06,5.79971054773788e-12,-9.66083084666882e-06,10,NA,"tms_metrics_4_151.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-droperidol-metoprolol-nitrendipine-ondansetron-ranolazine-risperidone","0.867 (0.733 - 0.933)","1    (0.75 - 1   )","0.889 (0.722 - 0.944)","2.4  (1.2  - 8e+05)","0.3  (0.2  - 0.6 )","5e+05 (6    - 1e+06)","0.5  (1e-06 - 0.5 )","0.316 (0.308 - 0.323)",0.733,0.75,0.722,1.2,0.6,6,0.5,0.323,0.867,0.833,0.389,1.2,0.6,5e+05,0.5,0.198,8.03235942326734,-17.9517107732897,8.03239552370566,-17.9516758857767,4.49435516639248e-06,1.94341259239335e-06,8.73438642505526e-12,-2.41516294500638e-05,8,NA,"tms_metrics_4_153.csv","summary_tms_8_metrics.csv"
"azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-ondansetron-quinidine-ranolazine","0.917 (0.792 - 0.958)","0.952 (0.81 - 1   )","0.92 (0.8  - 0.96)","3.33 (1.67 - 8.33e+05)","0.222 (0.167 - 0.444)","6.67e+05 (4.67 - 1e+06)","0.333 (1e-06 - 0.389)","0.285 (0.279 - 0.292)",0.792,0.81,0.8,1.67,0.444,4.67,0.389,0.292,0.875,0.857,0.36,1.67,0.333,667000,0.333,0.184,6.60015767272921,-15.5285342823426,6.60019291825547,-15.5284985716372,5.34007516013729e-06,2.29968822992843e-06,1.22805079927009e-11,-1.80064926950253e-05,10,NA,"tms_metrics_4_155.csv","summary_tms_10_metrics.csv"
