"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"astemizole-azimilide-bepridil-cisapride-clozapine-dofetilide-nifedipine-nitrendipine-ranolazine-verapamil","0.708 (0.625 - 0.833)","1    (0.857 - 1   )","0.8  (0.68 - 0.88)","3.33 (1.33 - 3.33)","0.222 (0.222 - 0.667)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.296 (0.289 - 0.303)",0.625,0.857,0.68,1.33,0.667,4.67,0.389,0.303,0.792,0.952,0.44,1.67,0.333,7,0.333,0.245,1.82173004423043,-28.9138934448466,2.23461091617202,-28.6815644395012,0.184766336257263,0.00810029054849686,0.0014966610072651,-2.91978753176597e-05,10,NA,"tms_metrics_7_65.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-droperidol-metoprolol-quinidine-ranolazine-risperidone-verapamil","0.708 (0.708 - 0.708)","0.905 (0.857 - 1   )","0.778 (0.741 - 0.852)","3.33 (1.67 - 3.33)","0.222 (0.222 - 0.333)","7    (4.67 - 1e+06)","1.17e-06 (1e-06 - 0.389)","0.295 (0.287 - 0.304)",0.708,0.857,0.741,1.67,0.333,4.67,0.389,0.304,0.833,0.952,0.519,3.33,0.222,7,0.333,0.236,6.85653281387968,-27.2557319096934,7.00402070355425,-27.2947855186113,0.0210576033277176,0.00143080841911267,3.01293961276333e-05,-2.81943422526759e-05,10,NA,"tms_metrics_7_66.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.667 - 0.75)","0.857 (0.762 - 0.905)","0.731 (0.692 - 0.808)","3.33 (2.67 - 3.33)","0.222 (0.222 - 0.444)","4.67 (2.33 - 7   )","1.4e-06 (1.17e-06 - 0.778)","0.367 (0.358 - 0.376)",0.667,0.762,0.692,2.67,0.444,2.33,0.778,0.376,0.75,0.857,0.385,3.33,0.222,4.67,0.389,0.313,6.37658044264923,-21.7872343587737,6.37658043839993,-21.7872343600954,6.66392147427123e-10,6.06629078399419e-11,4.04252854246325e-20,-3.65669073165725e-05,10,NA,"tms_metrics_7_67.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-metoprolol-nitrendipine-ranolazine-risperidone","0.458 (0.417 - 0.5 )","0.714 (0.571 - 0.763)","0.6  (0.52 - 0.64)","1    (1    - 1.33)","1    (0.667 - 1   )","1.17 (3.5e-06 - 3.5 )","0.933 (1.4e-06 - 1.4 )","0.871 (0.861 - 0.881)",0.417,0.571,0.52,1,1,3.5e-06,1.4,0.881,0.5,0.714,0.4,1,1,2.33,0.467,0.637,-12.9156604254754,-26.7250132794592,-12.8424582232411,-26.7336073204944,0.00570001482284611,0.000321469561968992,1.8323812683171e-06,-4.80228512986594e-05,10,NA,"tms_metrics_7_68.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.708 - 0.75)","0.857 (0.81 - 1   )","0.75 (0.714 - 0.857)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 6.75e+05)","1.17e-06 (1.16e-06 - 0.467)","0.335 (0.326 - 0.344)",0.708,0.81,0.714,3.33,0.222,2.33,0.467,0.344,0.75,0.857,0.393,3.33,0.222,4.67,0.389,0.302,7.57637361534385,-22.1708914333604,7.56870060286939,-22.2314193752178,0.00101378200526992,0.00272263056334179,2.76015387211383e-06,-3.4541446941528e-05,10,0.433333333333333,"tms_metrics_7_69.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.667 - 0.75)","0.857 (0.762 - 1   )","0.75 (0.714 - 0.857)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 1e+06)","1.17e-06 (1e-06 - 0.778)","0.342 (0.334 - 0.351)",0.667,0.762,0.714,3.33,0.222,2.33,0.778,0.351,0.75,0.857,0.393,3.33,0.222,4.67,0.389,0.3,7.04578386090367,-20.1696377978096,7.04578723774068,-20.1696392948343,4.79270363294546e-07,7.4221689500996e-08,3.55722560914773e-14,-3.32314777089817e-05,10,NA,"tms_metrics_7_71.csv","summary_tms_10_metrics.csv"
"azimilide-bepridil-cisapride-dofetilide-droperidol-nifedipine-ranolazine","0.8  (0.5  - 1   )","1    (0.917 - 1   )","0.818 (0.727 - 1   )","2    (1.2  - 2   )","2e-06 (2e-06 - 0.8 )","1e+06 (4    - 1e+06)","1e-06 (1e-06 - 0.333)","0.243 (0.236 - 0.25)",0.5,0.917,0.727,1.2,0.8,4,0.333,0.25,0.8,0.917,0.273,1.6,0.4,4,0.333,0.116,-6.62466178924485,-21.7777383012636,-5.78342240272139,-21.6950779668934,0.145457019727214,0.00381009621151658,0.00055420523980115,-1.92957099211606e-05,7,NA,"tms_metrics_7_73.csv","summary_tms_7_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.708 - 0.75)","0.857 (0.81 - 1   )","0.731 (0.692 - 0.846)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 6.67e+05)","1.17e-06 (1.17e-06 - 0.778)","0.346 (0.337 - 0.355)",0.708,0.81,0.692,3.33,0.222,2.33,0.778,0.355,0.75,0.857,0.385,3.33,0.222,4.67,0.389,0.305,7.43815583771532,-22.7807432436284,7.43815491286017,-22.7807427857061,1.24339324076114e-07,2.01012896014891e-08,2.49938076210736e-15,-3.52332195832809e-05,10,NA,"tms_metrics_7_75.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-metoprolol-ranolazine-risperidone-verapamil","0.708 (0.708 - 0.75)","0.857 (0.81 - 1   )","0.682 (0.636 - 0.818)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 7   )","1.17e-06 (1.17e-06 - 0.467)","0.349 (0.341 - 0.358)",0.708,0.81,0.636,3.33,0.222,2.33,0.467,0.358,0.75,0.857,0.455,3.33,0.222,4.67,0.389,0.305,8.34374525434804,-24.5534834694043,8.33175786855822,-24.571008315653,0.00143875830034116,0.000713232685593148,1.02616944647176e-06,-3.53666951926261e-05,10,NA,"tms_metrics_7_76.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-nifedipine-ranolazine-risperidone-vandetanib-verapamil","0.0833 (0    - 0.208)","0.143 (0.0952 - 0.333)","0.346 (0.269 - 0.462)","2e-06 (2e-06 - 0.333)","2    (1.67 - 2   )","3.5e-06 (3.5e-06 - 7e-06)","1.4  (1.17 - 1.4 )","1.28 (1.27 - 1.29)",0,0.0952,0.269,2e-06,2,3.5e-06,1.4,1.29,0.417,0.667,0.346,0.333,1.67,1.17,0.933,0.838,-42.3284598005229,-24.0001386230253,-43.1115031434745,-23.6818413522407,0.018163211343981,0.0134405625833874,0.00024412377878407,-5.30421885588483e-05,10,NA,"tms_metrics_7_77.csv","summary_tms_10_metrics.csv"
